,fov,peak,birth_label,birth_time,division_time,sb,sd,delta,elong_rate,tau,width,septum_position
f10p0128t0065r02,10,128,2,65,82,1.82421875,3.99609375,2.171875,0.9423828125,51.0,0.5474,0.521484375
f10p0128t0067r03,10,128,3,67,85,1.82421875,3.576171875,1.751953125,0.779296875,54.0,0.5435,0.47265625
f10p0128t0067r04,10,128,4,67,84,1.8857421875,4.1171875,2.23046875,0.95166015625,51.0,0.54,0.49365234375
f10p0128t0082r03,10,128,3,82,96,2.083984375,3.806640625,1.7216796875,0.86962890625,42.0,0.553,0.5
f10p0128t0096r03,10,128,3,96,115,1.9033203125,3.955078125,2.052734375,0.80712890625,57.0,0.5747,0.51904296875
f10p0128t0096r04,10,128,4,96,111,1.9033203125,3.70703125,1.8046875,0.93603515625,45.0,0.58,0.4912109375
f10p0128t0120r01,10,128,1,120,135,1.9501953125,3.658203125,1.7080078125,0.884765625,45.0,0.561,0.479736328125
f10p0128t0120r02,10,128,2,120,134,1.884765625,3.259765625,1.375,0.75830078125,42.0,0.5728,0.53955078125
f10p0128t0135r01,10,128,1,135,153,1.7548828125,3.33203125,1.5771484375,0.8681640625,54.0,0.573,0.471923828125
f10p0128t0135r02,10,128,2,135,150,1.9033203125,3.751953125,1.8486328125,0.9814453125,45.0,0.558,0.489990234375
f10p0128t0150r02,10,128,2,150,167,1.8388671875,3.716796875,1.8779296875,0.84619140625,51.0,0.5444,0.489990234375
f10p0128t0153r02,10,128,2,153,168,1.759765625,3.978515625,2.21875,0.99609375,45.0,0.5537,0.4912109375
f10p0128t0167r04,10,128,4,167,185,1.8955078125,3.814453125,1.919921875,0.853515625,54.0,0.5254,0.48193359375
f10p0128t0168r03,10,128,3,168,183,2.0234375,3.38671875,1.3623046875,0.74560546875,45.0,0.5415,0.50048828125
f10p0128t0186r01,10,128,1,186,206,1.6953125,3.98046875,2.28515625,0.91650390625,60.0,0.528,0.457275390625
f10p0128t0186r02,10,128,2,186,202,2.041015625,4.09765625,2.0546875,0.85693359375,48.0,0.5293,0.47607421875
f10p0128t0187r03,10,128,3,187,206,1.5595703125,3.724609375,2.1640625,0.84716796875,57.0,0.5303,0.489013671875
f10p0128t0206r01,10,128,1,206,224,1.8203125,3.85546875,2.03515625,0.85107421875,54.0,0.5366,0.474853515625
f10p0128t0206r02,10,128,2,206,221,2.16015625,3.91015625,1.7490234375,0.79736328125,45.0,0.552,0.482177734375
f10p0128t0221r02,10,128,2,221,234,1.884765625,3.58203125,1.6962890625,0.927734375,39.0,0.544,0.56298828125
f10p0128t0221r03,10,128,3,221,235,2.0234375,3.484375,1.4609375,0.91357421875,42.0,0.5264,0.57080078125
f10p0128t0224r02,10,128,2,224,239,2.0234375,3.7421875,1.7177734375,0.80224609375,45.0,0.5254,0.54541015625
f10p0128t0239r01,10,128,1,239,258,1.759765625,3.78125,2.021484375,0.8505859375,57.0,0.5576,0.53564453125
f10p0128t0239r02,10,128,2,239,258,1.755859375,3.974609375,2.21875,0.85302734375,57.0,0.544,0.474365234375
f10p0128t0239r03,10,128,3,239,253,2.041015625,3.953125,1.9130859375,0.93994140625,42.0,0.524,0.5
f10p0128t0239r04,10,128,4,239,255,1.701171875,3.455078125,1.75390625,0.97509765625,48.0,0.523,0.50927734375
f10p0128t0253r03,10,128,3,253,268,1.9765625,3.7109375,1.7333984375,0.79736328125,45.0,0.515,0.49072265625
