,sb,sd,delta,elong_rate,tau
50,2.2280483,4.074677,1.8466289,0.7117406030888598,57.5
51,2.2749999,4.0299997,1.7549999,0.8075283452084168,47.5
52,1.8407834,3.9649994,2.124216,0.6448563903657569,80.0
53,2.0149999,4.2425585,2.2275586,0.7776753342669939,60.0
54,2.21,4.358567,2.1485674,0.7348862017118006,62.5
55,2.145,3.8539674,1.7089676,0.8090273304989463,47.5
56,1.9499999,4.225,2.2749999,0.7664513749342708,62.5
57,2.0149999,3.6399999,1.625,0.7344881143785048,50.0
58,1.6899999,4.355,2.665,0.6102520914199854,92.5
59,2.145,4.0299997,1.885,0.7994312056921471,50.0
60,1.8866372,3.4598947,1.5732573,0.8529960531937463,47.5
61,1.7549999,4.264385,2.509385,0.7445272126221308,72.5
62,2.21,4.2083426,1.9983428,0.8132690917280373,50.0
63,1.9886177,3.8125293,1.8239118,0.8804948147078205,50.0
64,2.145,3.9333801,1.7883801,0.8747449172170549,45.0
65,1.8199999,4.0949993,2.2749994,0.9040082094697615,57.5
66,2.0149999,4.225,2.21,0.9072419288463133,50.0
67,3.15447,5.1586866,2.0042167,0.5085454778708977,57.5
68,1.8537194,3.6154494,1.76173,0.8392778272752628,52.5
69,1.885,4.17321,2.28821,0.7796571790255024,62.5
70,2.1740415,4.124843,1.9508018,0.7717281019532831,52.5
71,2.2749999,4.1880207,1.9130208,0.9382138532750754,42.5
72,2.405,4.580116,2.175116,0.8088426690352588,47.5
73,2.1877882,4.052813,1.8650247,0.7866266551770662,47.5
74,2.0296316,3.098921,1.0692894,0.8278867281400223,32.5
75,2.0008771,3.3019028,1.3010257,0.6659398028725075,47.5
76,2.1137688,3.9283948,1.814626,0.8017709932829181,47.5
77,1.9791533,3.855317,1.8761638,0.7341425654445236,57.5
78,1.9499999,3.705,1.7549999,0.7560121536254887,52.5
79,1.885,3.5099998,1.625,0.8087423683109134,50.0
80,2.1185365,4.0625963,1.9440602,0.8432248108369065,50.0
81,1.7163978,3.508491,1.7920933,0.8284293633002742,52.5
82,1.7549999,3.6309934,1.8759935,0.8353715395267767,57.5
83,2.01567,3.8999999,1.8843298,0.7272989546734339,60.0
84,1.8199999,3.8349998,2.0149999,0.7087765737680285,65.0
85,2.21,4.376312,2.1663117,0.7325510365030036,60.0
86,2.3016357,4.355,2.053364,0.6827650352146286,60.0
87,2.34,4.7554884,2.4154885,0.515705328228093,87.5
88,1.8199999,3.8349998,2.0149999,0.8460510572695176,55.0
89,1.9954977,4.460191,2.464693,0.7795938589634034,67.5
90,2.2293558,4.355,2.125644,0.8101163570117573,57.5
91,2.0306306,3.8349998,1.8043693,0.7906432302374614,47.5
92,2.1921122,3.8999999,1.7078876,0.7834166146758786,50.0
93,2.9249995,4.821493,1.8964937,0.5083680275158998,65.0
94,2.5349998,4.614999,2.079999,0.5591987553488448,70.0
95,2.34,4.691142,2.351142,0.7928470609418279,55.0
96,3.266013,5.468683,2.2026699,0.5465940807176649,57.5
97,2.62581,4.42,1.79419,0.5677722239480858,55.0
98,2.405,4.5499997,2.145,0.6198494355757155,67.5
99,2.34,4.4849987,2.144999,0.5196896001390704,80.0
100,2.145,4.0172596,1.8722595,0.8534548083326018,45.0
101,1.8925321,4.068656,2.176124,0.7634062435315994,60.0
102,2.2654943,4.0722976,1.8068032,0.6335611348768726,55.0
103,1.9252514,3.9354796,2.0102282,0.830613352227924,55.0
104,1.6899999,3.6966953,2.0066955,0.961205997714749,52.5
105,1.8272948,3.8999999,2.072705,0.8067604537632195,60.0
106,2.2925906,4.0075645,1.714974,0.7678008419072287,45.0
107,1.8199999,3.8854825,2.0654826,0.754027889936398,65.0
108,1.7172608,2.8696058,1.1523448,0.7975172996521019,42.5
